pwc_id;pwc_doc_id;FY;Entry_date;GroupDate;Document_Type;Entry_number;Document_number;Source Type;Source_number;Transaction number;System-Created Entry;User;Entry_amount;Document Date;bal_account_number;Journal Batch Name;Account;Debit_account;Credit_account;Job No#;Specialism code;Gen_Posting_Type;Business line code;Gen_Bus_Posting_Group;Gen_Prod_Posting_Group;Bal_Account_Type;Allocated;Allocation From GL Entry No;Allocation Document No;Consultant code;Associate Код;Customer code;Reversed
74051;17901;2018;2018-05-17 00:00:00.000;2018-05-17 00:00:00.000;Payment;1100473;G47440;Bank Account;БАНК001;291110;Yes;SMIRNOVA;349752.00;2018-05-17 00:00:00.000;00000075;СИТИ РУБ;51.01;51.01;NULL;;;"      ";;;;Customer;No;0;;;;00000075;No
69373;9413;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1242654;FA9988;"      ";;329436;Yes;KATYA;9.78;2018-10-31 00:00:00.000;;FA;20.23;20.23;NULL;;CE112;"      ";P;;;G/L Account;Yes;0;FA9988;205927;;;No
69386;1958;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1242807;FA9989;"      ";;329437;Yes;KATYA;3.46;2018-10-31 00:00:00.000;;FA;20.23;20.23;NULL;;CE452;"      ";P;;;G/L Account;Yes;0;FA9989;203564;;;No
69390;1958;2018;2018-10-31 00:00:00.000;2018-10-31 00:00:00.000;"      ";1242811;FA9989;"      ";;329437;Yes;KATYA;2.69;2018-10-31 00:00:00.000;;FA;20.23;20.23;NULL;;CE540;"      ";P;;;G/L Account;Yes;0;FA9989;203564;;;No
76508;15994;2018;2018-05-24 00:00:00.000;2018-05-24 00:00:00.000;Payment;1101005;G47525;Customer;КЮЛ-579;291293;Yes;PSHUGA;-637200.00;2018-05-24 00:00:00.000;БАНК001;СИТИ РУБ;62.01;NULL;62.01;;;"      ";;;;Bank Account;No;0;;;;КЮЛ-579;No
76523;3398;2018;2018-05-24 00:00:00.000;2018-05-24 00:00:00.000;Payment;1101255;G47526;Customer;КЮЛ-1084;291379;Yes;SMIRNOVA;0.00;2018-05-24 00:00:00.000;;;62.01;62.01;NULL;;;"      ";;;;G/L Account;No;0;;;;КЮЛ-1084;No
76525;1110;2018;2018-05-21 00:00:00.000;2018-05-21 00:00:00.000;Invoice;1100841;2018-784;Customer;КЮЛ-951;291236;Yes;SAVCHENKOP;263376.00;2018-05-21 00:00:00.000;;;62.01;62.01;NULL;;CE440;"      ";P;;;G/L Account;No;0;;211252;;КЮЛ-951;No
69403;6840;2018;2018-04-30 00:00:00.000;2018-04-30 00:00:00.000;Invoice;1078373;ПОСЧ-10-08891;Vendor;00001245;285471;Yes;PSHUGA;-26801.80;2018-04-30 00:00:00.000;68.02.01;СТАНДАРТ;19.03;NULL;19.03;;;"      ";;;;G/L Account;No;0;;;;;No
69404;11195;2018;2018-08-31 00:00:00.000;2018-08-31 00:00:00.000;"      ";1180044;G05361;Vendor;00000653;313442;No;KOCHETKOVAN;3750.00;2018-08-31 00:00:00.000;00000653;DEFAULT;20.29;20.29;NULL;;CE452;"      ";P;;;Vendor;No;0;;205287;;;No
69405;11306;2018;2018-04-30 00:00:00.000;2018-04-30 00:00:00.000;Invoice;1078433;ПОАВ-10-03875;Vendor;0000000400;285498;Yes;PSHUGA;-19.35;2018-04-10 00:00:00.000;91.02.26;СТАНДАРТ;19.03;NULL;19.03;;FA;"      ";P;;;G/L Account;No;0;;;;;No
66563;13858;2018;2018-07-31 00:00:00.000;2018-07-31 00:00:00.000;"      ";1167630;FA9255;"      ";;309517;Yes;KATYA;636.37;2018-07-31 00:00:00.000;;FA;20.29;20.29;NULL;;CE520;"      ";P;;;G/L Account;Yes;0;FA9255;205927;;;No
66579;5146;2018;2018-07-31 00:00:00.000;2018-07-31 00:00:00.000;"      ";1167958;FA9259;"      ";;309521;Yes;KATYA;545.45;2018-07-31 00:00:00.000;;FA;20.29;20.29;NULL;;CE410;"      ";P;;;G/L Account;Yes;0;FA9259;203026;;;No
66613;2692;2018;2018-07-31 00:00:00.000;2018-07-31 00:00:00.000;"      ";1168622;FA9272;"      ";;309534;Yes;KATYA;123.50;2018-07-31 00:00:00.000;;FA;20.29;20.29;NULL;;CE412;"      ";P;;;G/L Account;Yes;0;FA9272;212468;;;No
73049;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1062018;G05284;Vendor;00001001;281636;No;KOCHETKOVAN;23876.69;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE520;"      ";P;;;Vendor;No;0;;213961;;;No
73050;5434;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1360981;G22663;"      ";;361299;No;OYAKO;-438967.48;2018-11-30 00:00:00.000;90.09;AC;99.01;NULL;99.01;;CE210;"      ";P;;;G/L Account;No;0;;;;;No
73063;1159;2018;2018-06-30 00:00:00.000;2018-06-30 00:00:00.000;Invoice;1136484;ПОСЧ-10-09220;Vendor;00001226;301747;Yes;PSHUGA;6864.39;2018-06-26 00:00:00.000;19.03;СТАНДАРТ;68.02.01;68.02.01;NULL;;;Purchase;;DOM+FOR;УСЛ18;G/L Account;No;0;;;;;No
70239;19456;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1295614;G05432;Vendor;00000617;340558;No;OYAKO;48.92;2018-12-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA00274;210036;;;No
70240;1017;2018;2018-06-30 00:00:00.000;2018-06-30 00:00:00.000;"      ";1133830;G05324;Vendor;00001001;300847;No;KOCHETKOVAN;3482.67;2018-06-30 00:00:00.000;00001001;DEFAULT;20.28.2;20.28.2;NULL;;CE120;"      ";P;;;Vendor;No;0;;209531;;;No
70241;19456;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1295650;G05432;Vendor;00000617;340570;No;OYAKO;48.92;2018-12-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA00268;211198;;;No
70257;19456;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1296013;G05432;Vendor;00000617;340691;No;OYAKO;48.92;2018-12-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;FA;"      ";P;;;Vendor;Yes;0;FA00280;215454;;;No
70258;19456;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1296031;G05432;Vendor;00000617;340697;No;OYAKO;18.94;2018-12-31 00:00:00.000;00000617;DEFAULT;20.23;20.23;NULL;;ZZ101;"      ";H;;;Vendor;Yes;0;FA00256;215724;;;No
70272;8954;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1313080;FA00256;"      ";;346367;Yes;KATYA;1.25;2018-12-31 00:00:00.000;;FA;20.23;20.23;NULL;;CE410;"      ";P;;;G/L Account;Yes;0;FA00256;215724;;;No
71893;5173;2018;2018-04-19 00:00:00.000;2018-04-19 00:00:00.000;"      ";1080376;ПОСЧ-10-08907;"      ";;286133;Yes;SMIRNOVA;77.63;2018-04-19 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
71894;10344;2018;2018-11-30 00:00:00.000;2018-11-30 00:00:00.000;"      ";1263718;G05420;Vendor;00001278;334824;No;OYAKO;-57500.00;2018-11-30 00:00:00.000;00001278;;20.17;NULL;20.17;;CE510;"      ";P;;;Vendor;No;0;;209906;;;Yes
